tensor(30.7191, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.8808, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.1777, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.7973, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.7237, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.0228, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.8986, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.3259, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.1793, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.7671, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2471, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.5185, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0291, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.2720, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.4327, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.0428, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.7999, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.5879, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.8722, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.5456, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.6715, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.3975, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.0465, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.1221, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3376, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.6454, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.7324, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.6135, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.6882, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4995, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.6969, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.8018, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4391, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.5626, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.2940, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.6366, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.4293, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.4414, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.5863, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4273, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4639, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.5647, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.2385, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.2679, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5880, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.2690, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0388, device='cuda:0', grad_fn=<MulBackward0>)
tensor(35.9414, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.1902, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.1531, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.9938, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.2625, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.1366, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.4418, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.7382, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0601, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1732, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.5334, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.4184, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.8166, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3190, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.0330, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.1088, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.7386, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.4277, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.2883, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.8715, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0969, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.5205, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2988, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.7779, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.3439, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.2575, device='cuda:0', grad_fn=<MulBackward0>)
