tensor(26.3367, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.6554, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.2536, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.9722, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.3363, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.0545, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.7254, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.2394, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5645, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.9245, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.2858, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.9817, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5643, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.7035, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.7257, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.2833, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.4003, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.1061, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.0244, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2600, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.9020, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3722, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.1354, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.5051, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.3139, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.2528, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.8768, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.9162, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.0793, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.4005, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.5365, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.0875, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.9958, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5701, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.4751, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.4809, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.9229, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.6791, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.7803, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.4672, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.5798, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.7831, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.8281, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.6120, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.0908, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.1321, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.0445, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.4092, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.5354, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.5409, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.2839, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.3698, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1655, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.5475, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.2218, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.4755, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.1984, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.2363, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.2250, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.1537, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.0403, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.9971, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.6567, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4967, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.5681, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3571, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.3556, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.7313, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.7437, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.3205, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.6323, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.7137, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4906, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4364, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.6227, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.6568, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.1372, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.5821, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.9557, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.0972, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4070, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.6875, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2846, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4448, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.3065, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.6876, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.3417, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.6538, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.9143, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.9170, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.0028, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.1855, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2152, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3510, device='cuda:0', grad_fn=<MulBackward0>)
